S_No,Date,Time,Location,City,Province,No_of_Strike,Al_Qaeda,Taliban,Civilians_Min,Civilians_Max,Foreigners_Min,Foreigners_Max,Total_Died_Min,Total_Died_Max,Injured_Min,Injured_Max,Women_Children,Comments,Source_Name,Longitude,Latitude,Temperature_C
1,2004-06-18,22:00:00,Near Wana,south Waziristan,FATA,1,,1,0,4,,,,5,,,0,Village in Wana,dawn,69.9,33.0333,29
2,2005-05-08,23:30:00,Mir Ali (Near Afghan Border),North Waziristan,FATA,1,1,,0,1,,,,2,,,0,Civilian killied was Samiullah Khan who was a Local warlord,msnbc,70.1455,32.9746,12
3,2005-12-01,,Haisori- Miran Shah,North Waziristan,FATA,1,1,,0,1,,3,,5,,2,,No. 3 Al-Qaeda's Leader AbuHamza Rabia killed in a drone attack,cnn,70.1455,32.9746,8
4,2006-01-06,,Saidgai village- 115km north of Wana,North Waziristan,FATA,1,,,,,,,,3,,2,,No comments,reuters,70.1455,32.9746,1
5,2006-01-13,3:00:00,Damadola Village,Bajaur  Agency,FATA,1,,,0,18,,,,18,,2,1,Masood Khan house was among those bombed. Wanted Al Qaeda suspect Mualana Faqir Muhammad's house was 10 km away.,dailytimes,71.5,34.6833,11
6,2006-10-30,,Chenagai,Bajaur  Agency,FATA,1,,,0,82,,,,82,,,1,21 teenagers were killed,dawn,71.5,34.6833,19
7,2007-04-27,,Saidgai village,North Waziristan,FATA,1,,,0,2,,2,,4,,2,,millitanta were killed while making bombs,reuters,70.1455,32.9746,26
8,2007-06-19,10:30:00,MamiRogha- Dattakhel,North Waziristan,FATA,3,,,20,32,,,20,32,,15,1,millitanta were killed while making bombs,express,70.1455,32.9746,25
9,2007-11-02,,Dandey darpakhel-Miranshah,North Waziristan,FATA,1,,,5,8,,2,5,10,6,12,,House was training camp and explosives store by isuregents loyal to Baitullah Mehsud,express,70.1455,32.9746,16
10,2007-12-03,,Jani Khel,Bannu,KPK,1,,,,,,,,,,1,,No comments,dawn,70.6042,32.9861,14
11,2008-01-29,4:00:00,Khushali village,North Waziristan,FATA,1,1,,5,7,5,7,12,13,,2,1,Dead were pro taliban militants and some of them were arabs and Central Asians,bbc,70.1455,32.9746,3
12,2008-02-28,2:00:00,Kalosha,south Waziristan,FATA,1,,,7,8,,6,8,13,,3,,Large number of Arabs and other fireigners are living in this area for many years and doing business with local tribals,dawn,69.9,33.0333,16
13,2008-03-16,15:35:00,Dhok Pirbagh- WANA,South Waziristan,FATA,6,,,0,0,,20,,20,5,8,,Arabs were holding meeting in house which was located half km from the station of Taliban commander Maulvi Nazir,express,69.9,33.0333,19
14,2008-04-01,,Miran shah,North Waziristan,FATA,2,,,0,3,,,,3,,,,No comments,nawaiwaqt,70.1455,32.9746,17
15,2008-05-14,20:00:00,Damadola Village- near Afghan border,Bajaur  Agency,FATA,2,1,,12,19,,,12,20,,,1,surrounding are is in hands of millitants linked to the pakistan taliban militants group- who have been blamed for killing of  Benazir Bhutto,express,71.5,34.6833,28
16,2008-06-14,,Makeen,South Waziristan,FATA,3,,,0,1,,,,1,,,,this incident comes just days after an airstrike by US Led,dailytimes,69.9,33.0333,28
17,2008-07-28,,Azam Warsak- Near Wana,South Waziristan,FATA,1,1,,,6,,,6,7,,3,1,Abu Khabab al-Masri- an Egyptian chemist regarded as one of al Qaeda's top bomb makers died in attack,dailytimes,69.9,33.0333,28
18,2008-08-13,20:30:00,Baghar near Angoor adda- WANA,South Waziristan,FATA,1,,,10,12,,8,10,20,,,,Rehman Wazir who id reported to have been killed in the attack belonged to pro militant group led by MaulviNazir,express,69.9,33.0333,27
19,2008-08-20,19:00:00,Zari Noori area,south Waziristan,FATA,1,,,6,8,,,6,8,,3,,No comments,google,69.9,33.0333,26
20,2008-08-27,,Ganghikhel area,South waziristan,FATA,1,,,0,0,,,,,,4,1,the missile attack was carried out at a time when a jirga of Ahmedzai was negotiating a ceasefire between the govt and taliban,dailytimes,69.9,33.0333,26
21,2008-08-30,16:30:00,Ganghikhel- WANA,south waziristan,FATA,1,,,4,6,,,4,6,2,4,,this area is considered to be the stronghold of pro-govt warlord Maulvi Nazeer who had expelled Uzbek militants from there.,express,69.9,33.0333,25
23,2008-09-04,17:00:00,Muhammand Khel- Miranshah,North Waziristan,FATA,1,,,4,6,,,4,6,,5,,the house was known to host foreigners,express,70.1455,32.9746,25
24,2008-09-05,9:00:00,Gorveek- Miranshah,North Waziristan,FATA,3,,,6,10,,,6,10,,,1,No comments,express,70.1455,32.9746,23
25,2008-09-08,10:20:00,Dandey darpakhel-Miranshah,North Waziristan,FATA,4,,7,12,18,,,17,25,19,25,1,Arab and Uzbek militants had stayed at madrassa but it is not confirmed if anyone of them died,cnn,70.1455,32.9746,21
26,2008-09-12,5:30:00,Tol khel,North Waziristan,FATA,1,,,12,14,,,12,14,12,14,, afghan terrorist organization- Al Badar- was using that house as an office,dailytimes,70.1455,32.9746,26
27,2008-09-17,,Angoor Adda,south waziristan,FATA,1,,,3,5,,4,5,7,3,6,,officer told strike was the result of US and pak intelligence sharing. House belonged to the supporters of pro govt militant,dailytimes,69.9,33.0333,23
28,2008-10-01,,Mirali,North Waziristan,FATA,1,,,4,6,,,4,6,,9,,No comments,geo,70.1455,32.9746,25
29,2008-10-03,16:00:00,Muhammand Khel- Miranshah,North Waziristan,FATA,2,,,0,5,,16,20,21,,6,1,most of the foreigners were Arabs,express,70.1455,32.9746,25
30,2008-10-09,22:00:00,Tapai-Miranshah,North Waziristan,FATA,1,,,3,3,3,6,6,9,,,,No comments,express,70.1455,32.9746,20
31,2008-10-11,,Miranshah,North Waziristan,FATA,2,,5,4,4,,,4,9,,2,,No comments,dailytimes,70.1455,32.9746,23
32,2008-10-16,11:30:00,Sam-WANA,South Waziristan,FATA,1,,,1,5,1,2,2,7,,7,,Arabs had been living in one of the house,express,69.9,33.0333,16
33,2008-10-23,,Miranshah,North Waziristan,FATA,1,,,4,11,,,4,11,3,6,,strike was aimed at a stronghold of veteran Taliban commander- jalaluddin Jaqqani- an old friend of Osama bin Laden,nytimes,70.1455,32.9746,17
34,2008-10-26,,wana,South Waziristan,FATA,1,,,7,20,,,7,20,,,,No comments,bbc,69.9,33.0333,16
35,2008-10-31,,wana,south Waziristan,FATA,1,1,,15,27,,,15,28,,8,,No comments,geo,69.9,33.0333,18
37,2008-11-07,10:00:00,kumsham-Miranshah,North Waziristan,FATA,4,7,1,8,13,,,13,16,,,,xilllage is dominated by Wazir tribes ,longwarjournal,70.1455,32.9746,17
38,2008-11-14,1:45:00,miranshah,North Waziristan,FATA,1,,,4,6,5,9,11,13,3,7,,No comments,dawn,70.1455,32.9746,9
39,2008-11-19,3:00:00,Janikhel,Bannu,KPK,1,,,3,4,,3,4,6,4,7,,Arab and Turkmen were in killed people,express,70.6042,32.9861,17
40,2008-11-22,4:30:00,Miranshah,North Waziristan,FATA,1,,,4,5,,,4,5,3,6,1,Rashid Rauf died in this attack- he had close links with Al Qaida leaders,express,70.1455,32.9746,9
41,2008-11-29,,Chashma-Miranshah,North Waziristan,FATA,1,,,0,3,,,,3,2,3,1,No comments,cnn,70.1455,32.9746,14
42,2008-12-05,,Khushal Torikhel- Mirnshah,North Waziristan,FATA,1,,,3,6,,,3,6,2,3,,No comments,express,70.1455,32.9746,13
43,2008-12-11,,Azam Warsak,south waziristan,FATA,1,,,6,7,,,6,7,,,,No comments,dawn,69.9,33.0333,7
44,2008-12-15,,Tappi Tolkhel- Miranshah,North Waziristan,FATA,1,,,0,2,,,,2,,3,,it was not immediately clear if the missile was fired from drone or by US forces deployed across border,dawn,70.1455,32.9746,8
45,2008-12-22,,Ghawakhawa- Wana,South Waziristan,FATA,1,,,0,3,,,,3,,,,local residents said that trucks were patrolling the area- mounted with heavy guns and had been firing at drones wehereever they spoted them,dailytimes,69.9,33.0333,6
47,2009-01-01,,Karrikot- Wanna,South Waziristan,FATA,1,,5,0,0,,3,,5,,1,0,No comments,dailytimes,69.9,33.0333,7
48,2009-01-02,10:00:00,Laddha,South Waziristan,FATA,2,,,3,4,,,3,4,,2,0,No comments,express,69.9,33.0333,7
49,2009-01-23,17:00:00,Mir Ali (Near Afghan Border),North Waziristan,FATA,1,,5,9,10,,8,10,22,,4,0,The drone fired three missiles within a time frame of 10 minutes,express,70.1455,32.9746,10
50,2009-02-14,7:45:00,Laddha,South Waziristan,FATA,1,,2,30,33,,,30,35,2,6,1,The missile struck three compounds one of which was where Baitullah Mehsud and his fighters sometimes gather,express,69.9,33.0333,4
51,2009-02-16,10:00:00,Kurram,Khyber,FATA,3,,,0,22,,8,,30,3,20,0,The taliban were holding meeting at the time of attack,express,68.50235,25.67848,20
52,2009-03-01,,Sararogha,South Waziristan,FATA,2,,,8,8,,4,8,12,,14,0,The area under attack was the Taliban sanctuary,express,69.9,33.0333,15
53,2009-03-12,,Barjo ,Kurram Agency,FATA,1,,,14,25,,,14,25,15,50,0,No high profile targets killed,dailytimes,69.9667,33.8167,15
54,2009-03-15,22:30:00,Bannu,Bannu,KPK,1,,,1,3,1,2,2,5,,,0,Five people were killed in the same area last November,express,70.6042,32.9861,19
55,2009-03-25,17:00:00,Makin,South Waziristan,FATA,1,7,,0,7,,4,7,8,,,0,No high value targets were believed to have died,express,69.9,33.0333,13
56,2009-03-26,,Mir Ali (Near Afghan Border),North Waziristan,FATA,1,,,4,5,,,4,5,,4,1,The strike is second in as many days by the drones,indiatimes,70.1455,32.9746,13
57,2009-04-01,,Khadezai,Orakzai,FATA,1,,,12,14,,,12,14,15,18,0,It was the first such strike in Orakzai,express,69.8597,32.6674,18
58,2009-04-04,19:45:00,Miran shah,North Waziristan,FATA,2,,,8,13,,,8,13,,4,0,No comments,geo,70.1455,32.9746,16
59,2009-04-08,,Gangi Khel- Wana,South Waziristan,FATA,1,,3,1,3,,,3,4,4,5,0,This attack comes the day after Pakistan told visitin US envoys that drone attacks fuelled extremism in the nuclear-armed nation and flagged up red lines in Pakistan's cooperation with washington's war against extremists.,express,69.9,33.0333,12
60,2009-04-19,,Gangi Khel- Wana,South Waziristan,FATA,1,,,0,3,,,,3,,5,1,It comes a day after a suicide car bomber killed 27 people,bbc,69.9,33.0333,21
61,2009-04-29,20:15:00,KaniGaram-Ladha,South Waziristan,FATA,1,,,6,8,,2,6,10,2,4,0,No comments,express,69.9,33.0333,24
62,2009-05-09,10:00:00,Sararogha,South Waziristan,FATA,1,,,6,10,,,6,10,3,16,0,taliban commander-Betullah mehsud threatened to avenge missile strikes with attacks across the country and in US,express,69.9,33.0333,19
63,2009-05-12,4:00:00,Sra Khawra,South Waziristan,FATA,1,,,8,10,,,8,10,,4,1,this area is the stronghold of Baityullah mehsud,express,69.9,33.0333,23
64,2009-05-16,8:00:00,Khaisoor Area,North Waziristan,FATA,1,2,25,0,25,,4,25,29,,6,0,Hafiz Gul Bahadar; the taleban commander was running madrassa as training markaz,nytimes,70.1455,32.9746,23
65,2009-06-14,,Laddha,South Waziristan,FATA,1,,,3,5,,,3,5,,,0,No comments,dawn,69.9,33.0333,19
66,2009-06-18,10:00:00,Shah Alam- Wana,South Waziristan,FATA,1,,,0,9,,,,9,,8,0,All the dead are said to be local Taleban fighters loyal to commander Moulvi Nazir.,bbc,69.9,33.0333,18
67,2009-06-23,,wana,South Waziristan,FATA,1,,,15,50,,,15,50,,,0,No comments,dawn,69.9,33.0333,22
68,2009-07-03,6:30:00,KokatKhel,South Waziristan,FATA,1,,,13,17,,,13,17,25,30,0,people killed and wounded were taliba fighters,geo,69.9,33.0333,21
69,2009-07-07,10:00:00,Laddha,South Waziristan,FATA,1,,,12,12,,4,12,16,,4,0,area is controlled by Baitullah Mehsud,express,69.9,33.0333,26
70,2009-07-08,,Laddha,South Waziristan,FATA,1,,,25,60,,,25,60,5,10,0,Mulana Fazlullah- Taliban commander was reported to be injured,geo,69.9,33.0333,27
71,2009-07-10,,PaindaKhel,South Waziristan,FATA,1,,,3,8,,,3,8,,,0,No comments,dailytimes,69.9,33.0333,24
72,2009-07-17,16:00:00,Miran shah,South Waziristan,FATA,1,,5,0,4,,,4,5,,4,0,region is known as heaven of Taliban and Al-Qaida millitants,express,69.9,33.0333,27
73,2009-08-05,,Laddha,South Waziristan,FATA,1,,1,1,2,,,1,3,3,5,1,Baitullah mehsud's wife got died in the attack,express,69.9,33.0333,27
74,2009-08-11,,Laddha,South Waziristan,FATA,1,,10,4,10,,,10,14,5,10,1,No comments,express,69.9,33.0333,26
75,2009-08-21,,Miran shah,South Waziristan,FATA,1,,,9,13,,,9,13,,3,1,No comments,express,69.9,33.0333,24
76,2009-08-27,15:50:00,Laddha,South Waziristan,FATA,1,,,0,10,,,,10,5,7,0,No comments,express,69.9,33.0333,25
77,2009-09-08,23:45:00,Mir Ali ,South Waziristan,FATA,1,,,3,5,,5,5,8,,6,0,two senior Al-qaida leader are among those thought to have been killed,express,69.9,33.0333,22
78,2009-09-09,,Miran shah,South Waziristan,FATA,1,,10,0,0,,,,10,,,0,"it wass not immidiately clear that any ""high value targets"" were present in the area at that time",express,69.9,33.0333,21
79,2009-09-14,6:05:00,mir ali,South Waziristan,FATA,1,,,4,6,,2,4,8,1,5,0,No comments,express,69.9,33.0333,23
80,2009-09-24,23:00:00,Miran shah,South Waziristan,FATA,1,,10,2,10,,,10,12,2,3,0,all dead belong to Haqqani's network,express,69.9,33.0333,25
81,2009-09-29,,Sararogha,South Waziristan,FATA,1,,,5,12,,,5,12,6,8,0,it is not known if irfan was among dead,express,69.9,33.0333,23
83,2009-09-30,,Miran shah,North Waziristan,FATA,1,,,0,6,,,,6,,,0,No comments,aljazeera,70.1455,32.9746,23
84,2009-10-15,3:40:00,Miran shah,North Waziristan,FATA,1,,4,4,6,,,4,10,,9,1,High profile insurgent commander-Jalaluddin Haqqani is thought to be active in this area,express,70.1455,32.9746,15
85,2009-10-21,,Spalga,North Waziristan,FATA,1,,,3,5,,,3,5,,,0,top Al-qaida explosive expert has been killed in the attack,theaustralian,70.1455,32.9746,12
86,2009-10-24,11:30:00,Damadola,Bajaur  Agency,FATA,1,,,16,22,,11,22,27,,8,0,drone pounded a Taliban and Al-qaeda planning session,dailytimes,71.5,34.6833,20
87,2009-11-05,1:30:00,mir ali,North Waziristan,FATA,1,,,4,6,,,4,6,,8,0,No comments,dailytimes,70.1455,32.9746,15
88,2009-11-18,23:00:00,Mir Ali,North Waziristan,FATA,1,,,4,5,,,4,5,,4,0,No comments,express,70.1455,32.9746,6
89,2009-11-20,,Mir Ali,North Waziristan,FATA,1,,8,2,8,,,8,10,,2,0,No comments,express,70.1455,32.9746,9
90,2009-12-08,6:20:00,Spalga,North Waziristan,FATA,2,,3,0,0,,,,3,,3,0,Identities of killed taliban are not confirmed,bbc,70.1455,32.9746,4
91,2009-12-10,,Laddha,South Waziristan,FATA,1,4,2,1,6,,3,6,10,,8,0,it is not known if senior Al-qaeda or taliban commanders were among killed,longwarjournal,69.9,33.0333,4
92,2009-12-17,,Datta Khel,North Waziristan,FATA,1,,,2,2,,,2,2,,,0,No comments,tv,70.1455,32.9746,4
93,2009-12-18,3:50:00,Datta Khel,North Waziristan,FATA,1,,2,2,6,,,2,8,,8,1,No comments,express,70.1455,32.9746,3
95,2009-12-26,19:00:00,Miran shah,North Waziristan,FATA,1,,,3,10,,3,3,13,2,3,0,compound was used by local millitamts attached to Haqqani's network,express,70.1455,32.9746,4
96,2009-12-31,,Miran shah,North Waziristan,FATA,2,,,3,4,,,3,4,,2,0,No comments,express,70.1455,32.9746,6
97,2010-01-01,8:50:00,Nawana,North Waziristan,FATA,2,,,0,2,,,,2,,3,,No comments,tv,70.1455,32.9746,5
98,2010-01-03,20:30:00,Mosaki village-near Mir Ali,North Waziristan,FATA,2,,,0,2,,3,,5,3,4,,Arabs were among the dead,tv,70.1455,32.9746,5
99,2010-01-06,16:00:00,Sanzalai-Datta Khel,North Waziristan,FATA,1,,,13,25,,,13,25,,6,1,foreign militants and Al-qaeda people were among the dead,tv,70.1455,32.9746,7
100,2010-01-08,10:00:00,Tappi Village,North Waziristan,FATA,1,,4,4,6,,,4,10,2,9,0,house was owned by a local militant,express,70.1455,32.9746,5
101,2010-01-09,11:00:00,Ismail Khan,North Waziristan,FATA,1,,,3,4,,,3,4,,6,0,identiy of the militants was not known,express,70.1455,32.9746,4
102,2010-01-14,6:30:00,Shakoi,South waziristan,FATA,1,,10,5,10,,,10,15,,7,0,Us targeted TTP chief Hakeemullah Mehsud-some say he was dead some say not dead,express,69.9,33.0333,4
103,2010-01-15,,Mir Ali,South waziristan,FATA,1,,11,6,6,,3,6,20,,8,0,Rumors around the death of Mehsud,express,69.9,33.0333,6
104,2010-01-17,,shaktoi ,South Waziristan,FATA,1,,,15,,,,15,20,,,,No comments,bbc,69.9,33.0333,6
105,2010-01-19,18:30:00,Booya Village,North Waziristan,FATA,1,,6,0,5,,,5,6,,4,0,this area is considered as strong hold of Taiban and Al-Qaeda militants,dailytimes,70.1455,32.9746,7
106,2010-01-29,,Mohammad Khel,North Waziristan,FATA,3,,,5,9,,6,5,15,,4,0,it was an unsuccessful attempt to kill Taliban chief Hakimullah mehsud,foxnews,70.1455,32.9746,2
107,2010-02-02,17:30:00,Datta Khel- Degan- Kamar,North Waziristan,FATA,1,,16,1,16,,,16,17,,8,0,No comments,express,70.1455,32.9746,2
108,2010-02-14,3:30:00,Mir Ali,North Waziristan,FATA,1,,,4,7,,,4,7,3,4,0,foreigners died were posibly Uzbeks,express,70.1455,32.9746,4
109,2010-02-15,14:00:00,Tappi village- 15 km east of Miranshah,North Waziristan,FATA,1,,,,,,,,4,,,,No comments,dawn,70.1455,32.9746,-1
110,2010-02-17,,Tappi Village,North Waziristan,FATA,1,,3,1,3,,,3,4,,2,0,house was being used as guesthouse for visiing taliban operating across he border,express,70.1455,32.9746,1
111,2010-02-18,,Dande Darpakhel,North Waziristan,FATA,1,,4,,,,,1,4,,,0,Haqqani's younger brother was killed in the attack,nytimes,70.1455,32.9746,6
112,2010-02-24,,Darga Mandi,North Waziristan,FATA,1,,,6,8,,3,8,9,,6,0,house was owned by Haqqani's network,express,70.1455,32.9746,9
113,2010-03-08,,miran shah,North Waziristan,FATA,1,,5,0,0,,,,5,3,4,0,millitants were gathered it the compound,nawaiwaqt,70.1455,32.9746,10
114,2010-03-10,21:20:00,miran shah,North Waziristan,FATA,1,,8,6,12,,,12,14,,5,0,it was not immediately clear if high Value targets wre present there or not,express,70.1455,32.9746,13
115,2010-03-16,12:45:00,datta khel,North Waziristan,FATA,1,,10,1,8,,,8,11,2,7,0,No comments,dailytimes,70.1455,32.9746,16
117,2010-03-17,,Datta khel,North Waziristan,FATA,1,,,5,7,,,5,7,,2,0,No comments,bbc,70.1455,32.9746,17
119,2010-03-21,17:00:00,Datta Khel,North Waziristan,FATA,1,,,0,8,,,,8,,4,0,No comments,express,70.1455,32.9746,19
120,2010-03-23,21:00:00,miran shah,North Waziristan,FATA,1,,,0,6,,,,6,2,3,0,No comments,dailytimes,70.1455,32.9746,17
121,2010-03-27,,Mir Ali,North Waziristan,FATA,1,,,0,4,,,,4,,5,0,houses were used by terrorists as a hideouts,dailytimes,70.1455,32.9746,15
122,2010-03-30,23:00:00,Tappi Area,North Waziristan,FATA,1,,,3,5,,,3,5,,,0,No comments,express,70.1455,32.9746,16
123,2010-04-12,21:30:00,Datta Khel,North Waziristan,FATA,1,,,5,10,,,5,10,,,0,the compund was owned by taliban commander Tariq Khan,express,70.1455,32.9746,18
124,2010-04-14,19:00:00,Datta Khel,North Waziristan,FATA,1,,,3,5,,,3,5,3,4,0,arab militants were among dead and injured,tv,70.1455,32.9746,19
125,2010-04-16,,Toorikhel,North Waziristan,FATA,1,,6,0,0,,,,6,22,25,0,second hit was made during taliban' attemp to recover the dead and wounded,nawaiwaqt,70.1455,32.9746,20
126,2010-04-24,21:00:00,miran shah,North Waziristan,FATA,1,,,7,9,,,7,9,,8,0,nationalities f dead Taliban were not immediately clear,nawaiwaqt,70.1455,32.9746,19
127,2010-04-26,,Khushali Toorikhel,North Waziristan,FATA,1,,6,3,5,,,5,9,4,10,0,compound was owned by  followers of a local Taliban commander Haleen Khan,nawaiwaqt,70.1455,32.9746,19
128,2010-05-03,15:30:00,Machi Khel-Mir Ali,North Waziristan,FATA,1,,,4,7,,,4,7,,2,0,The attack came just after leader Tehreek-e-Taleban chief vowed to attack US in two videos,express,70.1455,32.9746,22
129,2010-05-09,8:00:00,Inzarkas in Datta Khel ,North Waziristan,FATA,1,,,10,11,,,10,11,3,4,0,No comments,express,70.1455,32.9746,19
130,2010-05-11,6:00:00,Doga- Datta Khel,North Waziristan,FATA,1,,,14,15,,,14,15,4,8,0,No comments,express,70.1455,32.9746,19
132,2010-05-15,,Tirah valley,Khyber Agency,FATA,1,,,13,15,,,13,15,4,9,0,Attacked because of the presence of Taliban,express,71.1481,34.0983,30
133,2010-05-21,,Muhammad Khel,North Waziristan,FATA,1,,6,,4,,,6,10,,,1,No comments,express,70.1455,32.9746,24
134,2010-05-28,12:00:00,Mizai Narai,South Waziristan,FATA,1,,,8,11,,,8,11,2,4,0,This house belonged to Omer Khitab believed to be the close associate of Moulvi Nazir,express,69.9,33.0333,22
135,2010-06-10,,Khadi village,North Waziristan,FATA,1,,,0,3,,,,3,,,0,No comments,tv,70.1455,32.9746,21
136,2010-06-11,7:30:00,Bahadar Khel village- Dattakhel,North Waziristan,FATA,1,,,11,12,,3,11,15,7,12,0,area is a strong hold of two groups loyal to Taliban-linked warloards Hafiz Gul Bahadur and Maulvi Sadiq Nor,dawn,70.1455,32.9746,23
137,2010-06-19,9:30:00,Haider Khel-Mir Ali,North Waziristan,FATA,1,,,11,16,,,11,16,3,19,0,The missile attack took place after Richard Holbrooke landed in Pakistan,aljazeera,70.1455,32.9746,27
138,2010-06-26,,Khushali khel village- Mir Ali,North Waziristan,FATA,1,,,2,4,,,2,4,1,3,0,it was not clear if killed or wounded militants are High Value targets,tv,70.1455,32.9746,25
139,2010-06-27,15:30:00,Tabbi Tolkhel-4 km north of MiranShah,North Waziristan,FATA,1,,6,0,5,,,5,6,,2,0,Identities of those killed in the attack were unkown,dailytimes,70.1455,32.9746,27
140,2010-06-29,7:00:00,Kari Kot,South Waziristan,FATA,2,1,,6,7,,,6,8,,,0,No comments,tv,69.9,33.0333,25
141,2010-07-15,,Misermada Khel- MiranShah,North Waziristan,FATA,2,,,0,7,,,,7,,,0,Foreign fighters linked to Al-Qaida are known to be in the this area,bbc,70.1455,32.9746,26
142,2010-07-24,,Dwasarak- 40km west of Wana,South Waziristan,FATA,1,,,16,18,,,16,18,,,0,Officials said that militants belonged to local commander Moulana Halimullah,tv,69.9,33.0333,25
143,2010-07-25,,shaktoi,South Waziristan,FATA,1,,,3,6,,,3,6,4,5,1,compound was a old house of late Tehkek-e-Taliban chief Baitullah Mehsud,dawn,69.9,33.0333,26
146,2010-08-14,9:30:00,Issori village- Mir Ali,North Waziristan,FATA,1,,,8,12,,5,12,13,4,6,0,No comments,express,70.1455,32.9746,25
147,2010-08-21,,KutabKhel- 3km south of MiranShah,North Waziristan,FATA,1,,,4,6,,,4,6,,,0,No comments,express,70.1455,32.9746,28
148,2010-08-23,,Danday Darpa Khel- 5km from Miran Shah,North Waziristan,FATA,1,,,5,10,,2,5,12,5,15,0,nationalities of foreigners are not known yet,geo,70.1455,32.9746,27
150,2010-08-27,11:30:00,Shaheedano- Badshah Kot- Talokonj,Kurram Agency,FATA,1,,,6,9,,,6,9,,,,No comments,thenews,69.9667,33.8167,24
151,2010-09-03,,MiranShah,North Waziristan,FATA,1,,,6,9,,,6,9,3,8,0,nationalities of killed forigners are not known,express,70.1455,32.9746,26
153,2010-09-06,,Khar Qamar,North Waziristan,FATA,1,,,0,5,,,,5,,4,0,No comments,express,70.1455,32.9746,24
154,2010-09-08,6:30:00,Danday darpakhel- 3 km west of miranshah bazar,North Waziristan,FATA,1,,,6,10,,,6,10,,2,1,Afghan commander jaluddin (Haqqani's network) was using this place,express,70.1455,32.9746,24
157,2010-09-09,4:30:00,Machus Camp- Miran shah,North Waziristan,FATA,1,,,4,6,,,4,6,,5,,No comments,dawn,70.1455,32.9746,23
158,2010-09-12,6:15:00,Newey Adda village in Datta Khel- near Miranshah,North Waziristan,FATA,1,,,3,4,,2,4,5,,2,0,No comments,express,70.1455,32.9746,23
159,2010-09-14,6:00:00,Bush Narai,North Waziristan,FATA,1,,,8,12,,,8,12,,3,0,People killed were from Hafiz Gul Bahadar's Group,express,70.1455,32.9746,19
161,2010-09-15,16:30:00,Danday Darpa Khel- Miran Shah,North Waziristan,FATA,1,,,0,12,,14,12,14,,,0,No comments,dawn,70.1455,32.9746,21
163,2010-09-19,,Datta Khel,North Waziristan,FATA,1,,,0,5,,,,5,,3,0,No comments,express,70.1455,32.9746,17
164,2010-09-20,,Datta Khel,North Waziristan,FATA,1,,,5,9,,,5,9,3,4,0,Haqqani networks dominates the area,express,70.1455,32.9746,19
165,2010-09-21,17:30:00,Khund,South Waziristan,FATA,1,,,7,8,,,7,8,,4,0,No comments,express,69.9,33.0333,18
168,2010-09-25,,Datta Khel,North Waziristan,FATA,1,,,0,4,,,,4,,4,0,No comments,express,70.1455,32.9746,20
169,2010-09-26,,Manada khel- Darmano road- and Lawar Mandi in Datta Khel,North Waziristan,FATA,1,,,9,12,,,9,12,,4,0,this area known as the hub for taliban and al-qaida linked militants,express,70.1455,32.9746,19
170,2010-09-27,,Khshali ToorKhel- southeast of Miran Shah,North Waziristan,FATA,1,,,0,4,,,,4,,,0,No comments,express,70.1455,32.9746,20
171,2010-09-28,,Zeba Village-Wana,South Waziristan,FATA,1,,,0,4,,,,4,,,0,No comments,tv,69.9,33.0333,19
172,2010-10-02,10:00:00,Kasra madda khel-and  Tirmara-in Datta khel,North Waziristan,FATA,1,,,14,17,,4,17,18,3,4,0,25 attacks in 29 days,express,70.1455,32.9746,20
